N.,DESCRIPCION,Precio + IVA,,,,,,,,,,,,,,,,,,,,,,
130,CASCO M/ TOLSEN D/ SEGURIDAD C/ AMARILLO ,45188,103.34,,,,,,,,,,,,,,,,,,,,,,
131,CASCO M/ TOLSEN D/ SEGURIDAD C/ AZUL ,45189,103.34,,,,,,,,,,,,,,,,,,,,,,
132,CASCO M/ TOLSEN D/ SEGURIDAD C/ ROJO ,45190,103.34,,,,,,,,,,,,,,,,,,,,,,
133,CASCO M/ TOLSEN D/ SEGURIDAD C/ BLANCO ,45191,103.34,,,,,,,,,,,,,,,,,,,,,,
134,ARNES M/ TOLSEN D/ CUERPO COMPLETO ,45261,286.72,,,,,,,,,,,,,,,,,,,,,,
135,ARNES M/ TOLSEN D/ CUERPO COMPLETO C/ ANILLOS LATERALES ,45266,451.58,,,,,,,,,,,,,,,,,,,,,,
136,CORDONES M/ TOLSEN P/ HERRAMIENTAS D/ 1.8MTS ,45271,305.23,,,,,,,,,,,,,,,,,,,,,,
137,LINEAS D/ VIDA M/ TOLSEN C/ ABSORBEDOR D/ IMPACTO D/ 2MTS ,45276,393.64,,,,,,,,,,,,,,,,,,,,,,
138,"DISPENSADOR D/ TAPE M/ TOLSEN D/ 2"" ",50000,100.35,,,,,,,,,,,,,,,,,,,,,,
139,DESTAPACAÑOS M/ TOLSEN D/ 9MM X 10 MTS ,50102,255.06,,,,,,,,,,,,,,,,,,,,,,
140,"MASKING TAPE M/ TOLSEN D/ 3/4"" X 30MTS ",50244,22.10,,,,,,,,,,,,,,,,,,,,,,
141,"MASKING TAPE M/ TOLSEN D/ 1"" X 30MTS ",50245,15.53,,,,,,,,,,,,,,,,,,,,,,
142,"MASKING TAPE M/ TOLSEN D/ 1 1/2"" X 30MTS ",50246",22.10,,,,,,,,,,,,,,,,,,,,,,
143,"MASKING TAPE M/ TOLSEN D/ 2"" X 30MTS ",50248,29.27,,,,,,,,,,,,,,,,,,,,,,
144,CANDADO M/ TOLSEN T/ LARGO T/ INDUSTRIAL C/ AMARILLO D/ 40MM ,55109,100.35,,,,,,,,,,,,,,,,,,,,,,
145,BOMBA D/ FUMIGAR M/ TOLSEN T/ BOTE D/ 5 LTS ,57292,250.28,,,,,,,,,,,,,,,,,,,,,,
146,LINTERNA M/ TOLSEN P/ CABEZA D/ 7 LEDS D/ 3 FUNCIONES 50 LUMENES ,60011,78.25,,,,,,,,,,,,,,,,,,,,,,
147,LINTERNA M/ TOLSEN D/ MANO T/ LED D/ 3V 12 LUMENES ,60020,44.80,,,,,,,,,,,,,,,,,,,,,,
148,LINTERNA M/ TOLSEN D/ MANO T/ LED D/ 3V 30 LUMENES ,60021,60.93,,,,,,,,,,,,,,,,,,,,,,
149,LINTERNA M/ TOLSEN D/ MANO T/ INDUSTRIAL T/ LED D/ 4.5V 150 LUMENES ,60033,204.28,,,,,,,,,,,,,,,,,,,,,,
150,LINTERNA M/ TOLEN D/ MANO T/ INDUSTRIAL T/ LED D/ 4.5V 550 LUMENES ,60035,409.17,,,,,,,,,,,,,,,,,,,,,,
151,FAJA SUJETADORA M/ TOLSEN D/ 38MM X 6MTS  ,62261,239.53,,,,,,,,,,,,,,,,,,,,,,
152,"EXTRACTOR D/ POLEAS M/ TOLSEN D/ 2 AGARRES D/ 4"" ",65001,91.39,,,,,,,,,,,,,,,,,,,,,,
153,"EXTRACTOR D/ POLEAS M/ TOLSEN D/ 6"" ",65012,180.39,,,,,,,,,,,,,,,,,,,,,,
154,"EXTRACTOR D/ POLEAS M/ TOLSEN D/ 8"" ",65013,295.67,,,,,,,,,,,,,,,,,,,,,,
155,ENGRASADORA M/ TOLSEN D/ 500G ,65200,293.88,,,,,,,,,,,,,,,,,,,,,,
156,ENGRASADORA M/ TOLSEN MANUAL T/ BARRIL D/ 16 KGS ,65210,"1,223.32",,,,,,,,,,,,,,,,,,,,,,
157,"JUEGO D/ EMBUDOS M/ TOLSEN D/ 4PCS D/ 2"" - 3"" - 4"" -5"" ",65228,19.77,,,,,,,,,,,,,,,,,,,,,,
158,JACK HIDRAULICO M/ TOLSEN D/ 6T ,65406,586.57,,,,,,,,,,,,,,,,,,,,,,
159,BOMBA D/ AIRE M/ TOLSEN ,65501,100.35,,,,,,,,,,,,,,,,,,,,,,
160,LINTERNA M/ TOLSEN T/ LED T/ FLEXIBLE C/ IMAN ,66011,137.98,,,,,,,,,,,,,,,,,,,,,,
161,"BROCA M/ TOLSEN P/ HIERRO HSS/M35 ASME B.94.11M D/ COBALTO D/ 2 PCS D/ 1/8"" ",75204,24.19,,,,,,,,,,,,,,,,,,,,,,
162,"BROCA M/ TOLSEN P/ HIERRO HSS/M35 ASME B.94.11M D/ COBALTO D/ 13/64"" ",75209,30.22,,,,,,,,,,,,,,,,,,,,,,
163,"BROCA M/ TOLSEN P/ HIERRO HSS/M35 ASME B.94.11M D/ COBALTO D/ 1/4"" ",75212,40.98,,,,,,,,,,,,,,,,,,,,,,
164,"BROCA M/ TOLSEN P/ CONCRETO T/ SDS -PLUS D/ 10MM X 310MM ( 3/8"") ",75386,34.64,,,,,,,,,,,,,,,,,,,,,,
165,"BROCA M/ TOLSEN P/ CONCRETO T/ SDS -PLUS D/ 12MM X 310MM ( 1/2"") ",75388,36.44,,,,,,,,,,,,,,,,,,,,,,
166,PUNTERO M/ TOLSEN T/ SDS PLUS D/ 14 X 250MM ,75440,33.27,,,,,,,,,,,,,,,,,,,,,,
167,BROCA M/ TOLSEN P/ CONCRETO DIN 8039 D/ 10MM X 120MM ,75465,16.07,,,,,,,,,,,,,,,,,,,,,,
168,SACABOCADO M/ TOLSEN P/ HIERRO D/ 32MM ,75732,75.86,,,,,,,,,,,,,,,,,,,,,,
169,SACABOCADO M/ TOLSEN P/ HIERRO D/ 51MM ,75751,115.88,,,,,,,,,,,,,,,,,,,,,,
170,JUEGO D/ BROCAS M/ TOLSEN P/ SACABOCADOS D/ METAL D/ 9 PCS ,75861,781.30,,,,,,,,,,,,,,,,,,,,,,
171,JUEGO D/ BROCAS M/ TOLSEN P/ INSTALAR LLAVINES D/ 3 PCS ,75868,72.28,,,,,,,,,,,,,,,,,,,,,,
172,BROCA M/ TOLSEN P/ HIERRO T/ PIRAMIDE D/ TITANIUM D/  4 -12 MM X 2MM ,75871,82.43,,,,,,,,,,,,,,,,,,,,,,
173,BROCA M/ TOLSEN P/ HIERRO T/ PIRAMIDE D/ TITANIUM D/  4 -20 MM X 2MM ,75872,123.65,,,,,,,,,,,,,,,,,,,,,,
